,,,,,,,,,,,,,,,,,
id,"Bulding or
Factory",Division,Section,Area,PC Name,"PC Type
PC,
NB,
WS,
Other","Maker 
& Model","Serial Number
CPU","User 
owner",OS Use,License/Free,Window License ,OS License ,"MS 
Office ",Version,"Legally 
purchase
Yes,
No,
Free","Refer Document
If Yes,
Cert,
P/O,
REQ"
32,Spindle,Spindle Assembly,QC,QC C/R,BAR.-751,PC,-,-,QC,WinXP,Yes,LN:60114653_7,WinXP,Excel,2003,No,
33,Spindle,Spindle Assembly,QC,QC C/R,BAR.-346,PC,-,-,QC,Win10,Yes,RVHND-4G8H9-6BXD8-V9XMC-GQ724,Win10,"Excel,PowerPoint,Word",2007,No,
34,Spindle,Spindle Assembly,QC,QC C/R,BAR.-591,PC,-,-,QC,Win10,Yes,64DWR-N64YK-T4PJ4-8XBF8-VH66P,Win10,"Excel,PowerPoint,Word",2007,No,
35,Spindle,Spindle Assembly,QC,QC C/R,BAR.-915,PC,-,-,QC,Win10,Yes,NBJGP-QXDK6-3WWRT-XCYHB-MY49C,Win10,"Excel,PowerPoint,Word",2013,No,
36,Spindle,Spindle Assembly,QC,QC C/R,BAR.-842,PC,Lenovo 10AX,-,QC,Win10,Free,,Win8,-,-,-,
37,Spindle,Spindle Assembly,QC,QC C/R,BAR.-827,PC,-,-,QC,Win10,Yes,JG3NB-DG3QP-PGG4F-BRKRT-FVV22,Win10,"Excel,PowerPoint,Word",2013,No,
38,Spindle,Spindle Assembly,Production,Sorting Label,BAR.-688,PC,-,-,Production,Win10,Yes,NKCG7-DYVM6-4BDHR-T939C-W2QGR,Win10,"Excel,PowerPoint,Word",2007,No,
39,Spindle,Spindle Assembly,Production,Sorting Label,BAR.-561,PC,-,-,Production,Win10,Yes,DMYN9-CTK2G-RMCDJ-DRCMJ-9TPKF,Win10,"Excel,PowerPoint,Word",2007,No,
40,Spindle,Spindle Assembly,Production,Sorting Label,BAR.-378,PC,Lenovo 10AH,-,Production,Win10,Free,2G9NP-M9BCC-89M9P-H8B2Q-XHJXC,Win10,"Excel,PowerPoint,Word",2007,No,
41,Spindle,Spindle Assembly,Production,Sorting Label,BAR.-560,PC,-,-,Production,Win10,Yes,T4W4N-7YG2J-VHX2V-VCQKQ-KKXTR2,Win10,"Excel,PowerPoint,Word",2007,No,
42,Spindle,Spindle Assembly,Production,Sorting Label,BAR.-711,PC,-,-,Production,Win10,Yes,YN9D9-4RQGX-3WKCJ-VC8Y9-V22KF,Win10,-,-,-,
43,Spindle,Spindle Assembly,Production,Sorting Label,BAR.-412,PC,-,-,Production,Win10,Yes,JT8N3-7KKKV-WJDC4-6QYVD-2WGGC,Win10,-,-,-,
44,Spindle,Spindle Assembly,Production,Sorting Label,BAR.-607,PC,-,-,Production,Win10,Yes,VNMHV-JM2JQ-2D8JM-3JJVH-3J3GR,Win10,"Excel,PowerPoint,Word",2013,No,
45,Spindle,Spindle Assembly,Production,Sorting Label,BAR.-608,PC,-,-,Production,Win10,Yes,93N8D-X784K-MQ87K-X66MC-GQ724,Win10,"Excel,PowerPoint,Word",2013,No,
46,Spindle,Spindle Assembly,Production,ห้อง Rework,BAR.-399,PC,-,-,Production,Win10,Yes,V3KDN-7C6TT-W8KCM-GHR2K-HCFC4,Win10,"Excel,PowerPoint,Word",20013,No,
47,Spindle,Spindle Assembly,Production,Rotor C/R,EWM.-561,PC,-,-,Production,Win7,Yes,H8CBK-3T9TF-89R9K-YG3BJ-4G968,Win7,-,-,-,
48,Spindle,Spindle Assembly,Production,Rotor C/R,BAR.-985,PC,DELL745,-,Production,Win7,Free,9GF79-PGHDQ-WYFR4-FYTHB-VW7PT,WinVistra,-,-,-,
49,Spindle,Spindle Assembly,Production,Rotor C/R,BAL.-099,PC,Dell 755,-,M/M PE,Win7,Free,RBB4G-DDFPB-BBKYY-8M649-WDC8G,Win7,-,-,-,
50,Spindle,Spindle Assembly,Production,Rotor C/R,EWM.-594,PC,-,-,Production,Win7,Yes,NYQTD-3W7X7-K9KTR-QCQ2W-K2BRD,Win7,-,-,-,
51,Spindle,Spindle Assembly,QC,QA C/R,BAR.-820,PC,-,-,QC,Win10,Yes,2NPM6-THBBV-3KCDX-48VMM-F9CKC,Win10,"Excel,PowerPoint,Word",2013,No,
52,Spindle,Spindle Assembly,QC,QA C/R,BAR.-754,PC,-,-,QC,Win10,Yes,DFQMP-NKM96-PWW2M-M93D4-QGPKF,Win10,"Excel,PowerPoint,Word",2007,No,
53,Spindle,Spindle Assembly,QC,QA C/R,EWM.-554,PC,-,-,QC,Win7,Yes,LN:48302093_2,Win7,-,-,-,
54,Spindle,Spindle Assembly,QC,QA C/R,BAR.-080,PC,DELL780,-,QC,Win7,Free,W99WK-Y2VC9-W27VT-F4JY6-723QG,Win7,"Excel,PowerPoint,Word",2007,No,
55,Spindle,Spindle Assembly,QC,QA C/R,DIM.-592,PC,-,-,QC,Win2000,Yes,2473C-3VCCC-TYHC8-HPBMW-JQ849,Win7,-,-,-,
56,Spindle,Spindle Assembly,QC,QA C/R,HIP.-408,PC,-,-,QC,Win7,Yes,T4P3N-JR9H2-Q8PGM-DKRRK-YDWXF,Win10,"Excel,PowerPoint,Word",2007,No,
57,Spindle,Spindle Assembly,QC,QA C/R,BAR.-723,PC,-,-,QC,Win10,Yes,KXWWW-KRNKD-76X2T-CYHK3-MDWXF,Win10,"Excel,PowerPoint,Word",2007,No,
58,Spindle,Spindle Assembly,QC,QA C/R,BAR.-506,PC,-,-,QC,Win10,Yes,N8PM9-KM4CW-7DGVY-DYXR7-M4G6P,Win10,-,-,-,
59,Spindle,Spindle Assembly,QC,QA C/R,BAR.-548,PC,-,-,QC,Win10,Yes,YWW9W-CNX4C-QCJDP-3HJPV-8HV22,Win10,"Excel,PowerPoint,Word",2007,No,
60,Spindle,Spindle Assembly,QC,QA C/R,BAR.-605,PC,-,-,QC,Win10,Yes,XTWNG-9VMVG-8WYK2-KG6XH-KHJXF,Win10,"Excel,PowerPoint,Word",2007,No,
61,Spindle,Spindle Assembly,QC,QA C/R,BAR.-616,PC,-,-,QC,Win10,Yes,H32TC-HKNWJ-Y828J-BRQK7-M4G6R,Win10,"Excel,PowerPoint,Word",2007,No,
62,Spindle,Spindle Assembly,QC,QA C/R,BAR.-602,PC,-,-,QC,Win10,Yes,Q2JRT-NF9VM-PYWJF-TVVQ3-M7V22,Win10,"Excel,PowerPoint,Word",2007,No,
63,Spindle,Spindle Assembly,QC,QA C/R,BAR.-615,PC,-,-,QC,Win10,Yes,KDNM8-KG323-M9W8C-M4K9H-VT9TR,Win10,"Excel,PowerPoint,Word",2007,No,
64,Spindle,Spindle Assembly,QC,QA C/R,BAR.-903,PC,-,-,QC,Win7,Yes,CKPFX-8HNHY-DXD67-7DDTP-7CBRD,Win7,-,-,-,
65,Spindle,Spindle Assembly,QC,QA C/R,BAR.-897,PC,-,-,QC,Win7,Yes,CJ7QN-RD4QJ-FT6YH-BJW2W-K2FC2,Win10,-,-,-,
66,Spindle,Spindle Assembly,QC,QA C/R,BAR.-180,PC,HP600G4,-,QC,Win10,Free,,Win10,"Excel,PowerPoint,Word",2013,No,
67,Spindle,Spindle Assembly,QC,QA C/R,BAR.-181,PC,HP600G5,-,QC,Win10,Free,,Win10,"Excel,PowerPoint,Word",2013,No,
68,Spindle,Spindle Assembly,QC,QC Data,BAR.-288,PC,-,-,QC,Win10,Yes,HNRRJ-2JY3X-Y6JQ7-WXP7R-YTDGR,Win10,"Excel,PowerPoint,Access",2007,No,
69,Spindle,Spindle Assembly,QC,QC Data,BAR.-376,PC,-,-,QC,Win10,Yes,NMCXW-JGY96-WG3W7-J349J-RX8XF,Win10,Excel,2007,No,
70,Spindle,Spindle Assembly,QC,QC Data,BAR.-932,PC,-,-,QC,Win2000,Yes,G4J6X-PQ339-YJYWF-CRTCG-CF6PG,Win2000,Excel,2000,No,
71,Spindle,Spindle Assembly,QC,QC Data,BAR.-464,PC,-,-,QC,Win10,Yes,RYY7R-D6NVQ-W6DVQ-G8V6G-23722,Win10,"Excel,PowerPoint,Access",2007,No,
72,Spindle,Spindle Assembly,QC,QC Data,BAR.-276,PC,DELL755,-,QC,Win10,Yes,PNF4G-6VK2H-8VDD2-J3WQ3-3PFC4,Win10,"Excel,PowerPoint,Access",2007,No,
73,Spindle,Spindle Assembly,QC,QC Data,BAR.-956,PC,IBM8172LK,L3KKH67,QC,WinXP,Free,DCQ4T-QWJ73-XKWW4-Q9VYK-CY6DG,WinXP,-,-,-,
74,Spindle,Spindle Assembly,QC,QC Data,BAR.-704,PC,-,-,QC,Win11,Free,4YXTN-2CPF7-VDC78-F8M7P-6JF9F,Win10,"Excel,PowerPoint,Word",2013,No,
75,Spindle,Spindle Assembly,QC,QC Data,BAR.-175,PC,-,-,QC,Win10,Yes,MCFJX-YN2MB-683FW-POXIB-6VJXF,Win10,Excel,2007,No,
76,Spindle,Spindle Assembly,QC,QC Data,BAR.-624,PC,-,,QC,Win10,Yes,3RN36-7FYTR-2HBMD-DBFTW-DGPKF,Win10,"Excel,PowerPoint,Word",2007,No,
77,Spindle,Spindle Assembly,QC,QC Data,BAR.-958,PC,Lenovo M9000,PCOELN6Q,QC,Win7,Free,GVVX4-76Y7B-YFVCB-XWW74-3433W,Win7,Excel,2000,No,
78,Spindle,Spindle Assembly,QC,QC Data,BAR.-400,PC,-,-,QC,Win10,Yes,BQJNQ-RQ3W3-KJ284-DXHT7-6XXTP,Win10,Excel,2007,No,
79,Spindle,Spindle Assembly,QC,QC Data,BAR.-955,PC,-,-,QC,WinXP,Yes,BKT7X-QJ996-PFEKG-44KBP-BH6RY,WinXP,-,-,-,
80,Spindle,Spindle Assembly,QC,QC Data,BAR.-138,PC,Lenovo 2756,-,QC,Win7,Yes,2QFKR-QR6G2-X2CV2-D4K33-GCB79,Win7,"Excel,PowerPoint,Word",2007,No,
81,Spindle,Spindle Assembly,QC,QC Data,BAR.-178,PC,-,-,QC,Win10,Yes,XD3XN-PFVQ8-QXVYX-RCFWF-3DBP4,Win10,-,-,-,
82,Spindle,Spindle Assembly,QC,QC Data,VIB.-257,PC,-,-,QC,Win10,Yes,YFCHC-NMD2Y-MDYY3-M9GCF-8B49F,Win10,"Excel,PowerPoint,Word",2007,No,
83,Spindle,Spindle Assembly,QC,QC Gauge,BAR.-185,PC,-,-,QC,Win11,Yes,BDNTQ-T9HT7-4RFQV-8KW47-M4G6P,Win11,"Excel,PowerPoint,Word",2013,No,
84,Spindle,Spindle Assembly,QC,FA,BAR.-030,PC,DELL3620,-,QC,Win10,Free,,Win10,"Excel,PowerPoint,Word",2007,No,
85,Spindle,Spindle Assembly,IE,DATA VMI,BAR.-430,PC,-,-,Production,Win10,Yes,8BNGC-XWMV8-W4468-9FKTR-CR4C4,Win10,-,-,-,
86,Spindle,Spindle Assembly,QC,Digimatic All,BAR.-627,PC,-,-,Production,Win10,Free,MG467-NGBBW-TW4CH-VJJVM-TXXTR,Win10,Excel,2000,No,
87,Spindle,Spindle Assembly,QC,Laser Room,BAR.-416,PC,-,-,Production,Win10,Yes,JPF93-N3YBD-CR977-PRVBQ-BG92P,Win10,-,-,-,
